Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
8/25/11,87,Ozone,SHEPHERDSVILLE,21-029-0006,AQS,.,87,37,21,55,
8/26/11,64,Ozone,Watson Lane,21-111-0051,AQS,5,64,17,19,42,
8/27/11,71,Ozone,SHEPHERDSVILLE,21-029-0006,AQS,5,71,23,19,57,
8/28/11,59,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,6,44,21,17,59,
8/29/11,60,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,5,50,21,19,60,
8/30/11,61,Ozone,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,5,61,9,29,60,
8/31/11,112,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,7,112,43,35,80,
9/1/11,161,Ozone,BUCKNER,21-185-0004,AQS,8,161,118,40,86,
9/2/11,164,Ozone,Bates,21-111-0027,AQS,8,164,40,44,93,
9/3/11,115,Ozone,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,115,31,37,87,
9/4/11,61,PM2.5,CANNONS LANE,21-111-0067,AQS,8,45,16,20,61,
9/5/11,44,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,6,25,9,8,44,
9/6/11,55,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,5,26,7,11,55,
9/7/11,51,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,5,24,6,8,51,
9/8/11,43,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,24,3,6,43,
9/9/11,56,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,28,29,16,56,
9/10/11,95,SO2,Watson Lane,21-111-0051,AQS,7,46,95,20,63,
9/11/11,101,SO2,Watson Lane,21-111-0051,AQS,7,47,101,17,63,
9/12/11,102,SO2,Watson Lane,21-111-0051,AQS,8,61,102,24,67,
9/13/11,108,Ozone,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,108,99,31,76,
9/14/11,77,Ozone,Watson Lane,21-111-0051,AQS,8,77,57,35,76,
9/15/11,54,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,6,32,19,12,54,
9/16/11,47,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,5,33,11,9,47,
9/17/11,56,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,43,52,18,56,
9/18/11,63,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,35,16,31,63,
9/19/11,54,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,25,3,13,54,
9/20/11,59,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,33,10,17,59,
9/21/11,58,PM2.5,CANNONS LANE,21-111-0067,AQS,10,42,33,20,58,
9/22/11,58,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,36,23,28,58,
9/23/11,54,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,13,32,3,14,54,
9/24/11,64,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,13,31,3,26,64,
9/25/11,59,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,40,6,12,59,
9/26/11,85,SO2,Watson Lane,21-111-0051,AQS,9,43,85,13,51,
9/27/11,66,SO2,Watson Lane,21-111-0051,AQS,9,38,66,26,62,
9/28/11,85,SO2,Watson Lane,21-111-0051,AQS,11,35,85,22,60,
9/29/11,92,SO2,Watson Lane,21-111-0051,AQS,13,50,92,23,58,
9/30/11,42,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,29,11,19,42,
10/1/11,48,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,30,7,6,48,
10/2/11,52,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,34,9,6,52,
10/3/11,58,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,13,41,16,22,58,
10/4/11,59,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,14,46,9,25,59,
10/5/11,64,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,14,51,7,26,64,
10/6/11,64,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,50,10,28,64,
10/7/11,68,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,54,36,30,68,
10/8/11,72,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,71,26,24,72,
10/9/11,73,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,42,4,19,73,
10/10/11,58,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,44,4,22,58,
10/11/11,58,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,44,6,19,58,
10/12/11,53,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,36,34,17,53,
10/13/11,54,SO2,Watson Lane,21-111-0051,AQS,10,31,54,17,48,
10/14/11,74,SO2,Watson Lane,21-111-0051,AQS,10,38,74,18,44,
10/15/11,43,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,34,11,15,43,
10/16/11,128,SO2,Watson Lane,21-111-0051,AQS,11,87,128,41,60,
10/17/11,44,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,38,27,17,44,
10/18/11,47,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,27,14,17,47,
10/19/11,38,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,17,3,5,38,
10/20/11,41,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,16,6,8,41,
10/21/11,55,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,29,20,19,55,
10/22/11,94,SO2,Watson Lane,21-111-0051,AQS,.,35,94,24,67,
10/23/11,75,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,36,60,29,75,
10/24/11,61,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,41,55,25,61,
10/25/11,67,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,43,36,21,67,
10/26/11,64,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,41,9,22,64,
10/27/11,45,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,24,4,6,45,
10/28/11,58,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,23,10,9,58,
10/29/11,62,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,35,11,19,62,
10/30/11,64,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,37,29,19,64,
10/31/11,76,SO2,Watson Lane,21-111-0051,AQS,.,35,76,18,59,
11/1/11,128,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,31,128,31,64,
11/2/11,72,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,43,54,31,72,
11/3/11,68,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,28,23,14,68,
11/4/11,62,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,19,16,13,62,
11/5/11,65,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,28,11,19,65,
11/6/11,72,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,33,52,19,72,
11/7/11,68,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,13,28,66,32,68,
11/8/11,66,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,13,33,26,19,66,
11/9/11,59,SO2,Watson Lane,21-111-0051,AQS,3,29,59,13,46,
11/10/11,57,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,6,26,29,11,57,
11/11/11,86,SO2,Watson Lane,21-111-0051,AQS,7,30,86,12,61,
11/12/11,60,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,6,44,21,15,60,
